Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
North Yorkshire,Harrogate Library,Victoria Avenue,Harrogate,North Yorkshire,HG1 1EG,10003033523,Yes,LAL,,,09:00-19:00,09:00-19:00,09:00-19:00,10:00-18:00,09:00-19:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Hawes Library,"The Neukin, Marketplace",Hawes,North Yorkshire,DL8 3RA,,Yes,CRL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Helmsley Library,Town Hall,Helmsley,North Yorkshire,YO62 5BL,,Yes,LAL,,,00:00-00:00,10:00-13:00,10:00-13:00,10:00-16:00,10:00-16:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Ingleton Library,"Ingleborough Community Centre, Main Street",Carnforth,Lancashire,YO62 5BL,,Yes,LAL,,,09:00-19:00,09:00-16:00,09:00-18:00,09:00-16:00,09:00-17:00,10:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Kirkbymoorside Library,"Church House, 7 High Marketplace",York,North Yorkshire,YO62 6AT,,Yes,LAL,,,09:30-17:00,00:00-00:00,09:30-17:00,09:30-17:00,09:30-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Knaresborough Library,Marketplace,Knaresborough,North Yorkshire,HG5 8AG,,Yes,LAL,,,09:30-17:00,09:30-17:00,09:30-17:00,09:30-13:00,09:30-19:00,09:30-13:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Leyburn Library,Thornborough Hall,Leyburn,North Yorkshire,DL8 5AB,10012779971,Yes,LAL,,,10:00-16:00,10:00-18:00,00:00-00:00,00:00-00:00,10:00-16:00,10:00-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Malton Library,St. Michael Street,Malton,North Yorkshire,YO17 7LJ,,Yes,LAL,,,09:30-17:00,09:30-19:00,09:30-17:00,00:00-00:00,09:30-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Mashamshire Community Library,"Mashamshire Community Office, Little Market Place",Masham,North Yorkshire,HG4 4DY,,Yes,CRL,,,10:00-15:00,10:00-15:00,10:00-16:00,10:00-15:00,10:00-15:00,10:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Nidderdale Plus Community Library,"Station Square, King Street",Pateley Bridge,North Yorkshire,HG3 5AT,,Yes,CRL,,,10:00-17:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Northallerton Library,1 Thirsk Road,Northallerton,North Yorkshire,DL6 1PT,100051958102,Yes,LAL,,,09:30-18:00,09:30-17:00,09:30-18:00,13:00-17:00,09:30-17:00,09:30-13:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Norton Library,Commercial Street,Malton,North Yorkshire,YO17 9ES,,Yes,LAL,,,00:00-00:00,09:30-19:00,00:00-00:00,09:30-18:00,09:30-18:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Pateley Bridge Library,28 High Street,Harrogate,North Yorkshire,HG3 5JU,,Yes,LAL,,2016,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Pickering Library,The Ropery,Pickering,North Yorkshire,YO18 8DY,,Yes,LAL,,,09:00-17:00,10:00-17:00,00:00-00:00,10:00-19:00,10:00-17:00,10:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Richmond Library,Queen's Road,Richmond,North Yorkshire,DL10 4AE,,Yes,LAL,,,10:00-17:00,10:00-19:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Ripon Library,The Arcade,Ripon,North Yorkshire,HG4 1AG,,Yes,LAL,,,10:00-18:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Scalby & Newby Library & Information Centre,450 Scalby Road,Scarborough,North Yorkshire,YO12 6EE,,Yes,LAL,,,10:00-17:30,10:00-17:30,10:00-17:30,00:00-00:00,10:00-19:00,10:00-13:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Scarborough Library,Vernon Road,Scarborough,North Yorkshire,YO11 2NN,200003350736,Yes,LAL,,,09:00-18:00,09:00-18:00,10:00-18:00,09:00-19:00,09:00-18:00,09:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Selby Library,52 Micklegate,Selby,North Yorkshire,YO8 4EQ,,Yes,LAL,,,09:30-19:30,09:30-17:30,09:30-17:30,09:30-12:30,09:30-17:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Settle Library,Limestone View,Settle,North Yorkshire,BD24 9RB,,Yes,LAL,,,14:00-17:00,09:30-17:00,00:00-00:00,14:00-17:00,14:00-18:00,10:00-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Sherburn-in-Elmet Library,Finkle Hill,Leeds,North Yorkshire,LS25 6EA,,Yes,LAL,,,09:30-17:00,09:30-17:00,00:00-00:00,09:30-17:00,09:30-13:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Skipton Library,High Street,Skipton,North Yorkshire,BD23 1JX,,Yes,LAL,,,09:30-19:00,00:00-00:00,09:30-19:00,09:30-19:00,09:30-17:00,09:30-13:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Starbeck Library,68a High Street,Harrogate,North Yorkshire,HG2 7LW,,Yes,LAL,,,14:00-17:00,10:00-17:00,14:00-17:00,00:00-00:00,14:00-17:00,10:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Stokesley Library,"Town Close, North Road",Stokesley,North Yorkshire,TS9 5DH,,Yes,LAL,,,09:30-17:00,14:00-18:30,00:00-00:00,09:30-17:00,09:30-13:00,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Tadcaster Library,Station Road,Tascaster,North Yorkshire,LS24 9JG,,Yes,LAL,,,14:00-18:00,14:00-18:00,14:00-18:00,09:00-13:00,09:00-13:00,10:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Thirsk Library,"Meadowfields, Chapel Street",Thirsk,North Yorkshire,YO7 1DA,,Yes,LAL,,,10:00-17:00,13:00-17:00,00:00-00:00,10:00-18:00,10:00-17:00,09:30-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://www.northyorks.gov.uk/article/25300/Thirsk-library,
North Yorkshire,Thirsk Library & Customer Services Centre,Finkle Street,Thirsk,North Yorkshire,YO7 1DA,,Yes,LAL,,2015,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Whitby Library,Windsor Terrace,Whitby,North Yorkshire,YO21 1ET,,Yes,LAL,,,09:30-17:00,09:30-19:00,00:00-00:00,09:30-17:00,09:30-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://www.northyorks.gov.uk/article/25301/Whitby-library,
