Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
Suffolk,Gainsborough,Clapgate Lane,Ipswich,Suffolk,IP3 0RL,,Yes,CL,,,09:00-18:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-18:00,09:00-17:00,11:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.suffolklibraries.co.uk/libraries/gainsborough-community-library/,
Suffolk,Glemsford,Village Hall,Glemsford,Suffolk,CO10 7RH,,Yes,CL,,,00:00-00:00,10:00-17:00,00:00-00:00,10:00-17:00,10:00-17:00,00:00-00:00,11:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Community Centre,Library on same site as community centre,https://www.suffolklibraries.co.uk/libraries/glemsford-library/,
Suffolk,Great Cornard,Head Lane,Great Cornard,Suffolk,CO10 0JU,100091457171,Yes,CL,,,08:30-17:00,08:30-17:00,08:30-17:00,08:30-19:00,08:30-17:00,10:00-15:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,High School,On High school site and joint use library,https://www.suffolklibraries.co.uk/libraries/great-cornard-library/,
Suffolk,Hadleigh,29 High Street,Hadleigh,Suffolk,IP7 5AG,,Yes,CL,,,00:00-00:00,09:00-17:00,09:00-17:00,09:00-18:00,09:00-17:00,09:30-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.suffolklibraries.co.uk/libraries/hadleigh-library/,
Suffolk,Halesworth,Bridge Street,Halesworth,Suffolk,IP19 8AD,,Yes,CL,,,09:30-12:00,09:30-17:30,09:30-17:30,00:00-00:00,09:30-18:00,09:30-17:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.suffolklibraries.co.uk/libraries/halesworth-library/,
Suffolk,Haverhill,Camps Road,Haverhill,Suffolk,CB9 8HB,,Yes,CL,,,09:00-13:00,09:00-19:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-16:30,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.suffolklibraries.co.uk/libraries/haverhill-library/,
Suffolk,Ipswich,Northgate Street,Ipswich,Suffolk,IP1 3DE,10004563266,Yes,CL,,,09:00-18:00,09:00-19:00,09:00-18:00,09:00-18:00,09:00-19:00,08:30-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.suffolklibraries.co.uk/libraries/ipswich-county-library/,
Suffolk,Ixworth,"Village Hall, High Street",Ixworth,Suffolk,IP31 2HH,,Yes,CL,,,00:00-00:00,10:30-16:00,17:30-19:30,10:30-17:30,10:30-17:30,10:30-13:00,11:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Community Centre,Library space within the wider use building,https://www.suffolklibraries.co.uk/libraries/ixworth-library/,
Suffolk,Kedington,"Community Centre, Arms Lane",Kedington,Suffolk,CB9 7QQ,,Yes,CL,,,00:00-00:00,11:30-18:00,09:00-16:30,13:00-17:00,11:00-15:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Parish Council & Community Centre,Parish Council offices and community centre within the same building,https://www.suffolklibraries.co.uk/libraries/kedington-library/,
Suffolk,Kesgrave,"Kinsey House, Kays Close",Kesgrave,Suffolk,IP5 2HL,,Yes,CL,,,09:00-12:00,09:00-17:00,14:30-18:00,14:30-20:00,09:00-18:00,10:00-17:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.suffolklibraries.co.uk/libraries/kesgrave-library/,
