Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Renfrewshire,Bishopton Library,11 Greenock Road,,Bishopton,PA7 5JW,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,
Renfrewshire,Bridge of Weir Library,Cargill Hall,,Lintwhite Crescent,PA11 3LJ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,
Renfrewshire,Erskine Library,Bridgewater Place,,Erskine,PA8 7AA,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,
Renfrewshire,Ferguslie Library,Tannahill Centre,,Blackstoun Road,PA3 1NT,123039214,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,
Renfrewshire,Foxbar Library and Toy Library,Ivanhoe Road,,Paisley,PA2 0JZ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,
Renfrewshire,Glenburn Library,Fairway Avenue,,Paisley,PA2 8DX,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,
Renfrewshire,Johnstone Library,25 Church Street,, Johnstone,PA5 8FA,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,
Renfrewshire,Linwood Library,15 Bridge Street,,Linwood,PA3 3DB,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,
Renfrewshire,Lochwinnoch Library,Old School High Street,,PA12 4AB,PA12 4AB,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.whatsonrenfrewshire.co.uk/listings/lochwinnoch-library/,
Renfrewshire,Paisley Library / Heritage Centre,15 Mill Street,,Paisley,PA1 1ND,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,
Renfrewshire,Ralston Library,Ralston Community Centre,,Allanton Avenue,PA1 3BL,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,
Renfrewshire,Renfrew Library,Paisley Road,,Renfrew,PA4 8LJ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,
