Library name,Address 1,Address 2,Address 3,Postcode,URL
Fivemiletown,67 Main Street,Fivemiletown,Tyrone,BT75 0PG,https://www.librariesni.org.uk/Libraries/Pages/Fivemiletown-Library.aspx
Garvagh,Bridge Street,Garvagh,Londonderry,BT51 5AF,https://www.librariesni.org.uk/Libraries/Pages/Garvagh-Library.aspx
Glengormley,40 Carnmoney Road,Newtownabbey,Antrim,BT36 6HP,https://www.librariesni.org.uk/Libraries/Pages/Glengormley-Library.aspx
Greenisland,17 Glassillan Grove,Greenisland,Antrim,BT38 8TE,https://www.librariesni.org.uk/Libraries/Pages/Greenisland-Library.aspx
Greystone,Greystone Road,Antrim,Antrim,BT41 1JW,https://www.librariesni.org.uk/Libraries/Pages/Greystone-Library.aspx
Grove,Grove Wellbeing Centre,"120 York Road, Belfast",Antrim,BT15 3HF,https://www.librariesni.org.uk/Libraries/Pages/Grove-Library.aspx
Holywood,Sullivan Building,"86-88 High Street, Holywood",Down,BT18 9AE,https://www.librariesni.org.uk/Libraries/Pages/Holywood-Library.aspx
Holywood Arches,4 - 12 Holywood Road,Belfast,Antrim,BT4 1NT,https://www.librariesni.org.uk/Libraries/Pages/Holywood-Arches-Library.aspx
"Irish and Local Studies, Armagh",39c Abbey Street,Armagh,Armagh,BT61 7EB,"https://www.librariesni.org.uk/Libraries/Pages/Irish-and-Local-Studies-Library,-Armagh.aspx"
Irvinestown,Main Street,Irvinestown,Fermanagh,BT94 1GJ,https://www.librariesni.org.uk/Libraries/Pages/Irvinestown-Library.aspx
Keady,3 Bridge Street,Keady,Armagh,BT60 3TA,https://www.librariesni.org.uk/Libraries/Pages/Keady-Library.aspx
Kells and Connor,5 Main Street,"Kells, Ballymena",Antrim,BT42 3JH,https://www.librariesni.org.uk/Libraries/Pages/Kells-and-Connor-Library.aspx
Kilkeel,51A Greencastle Street,"Kilkeel, Newry",Down,BT34 4BH,https://www.librariesni.org.uk/Libraries/Pages/Kilkeel-Library.aspx
Killyleagh,52 High Street,Killyleagh,Down,BT30 9QF,https://www.librariesni.org.uk/Libraries/Pages/Killyleagh-Library.aspx
Kilrea,"Town Hall, 26 The Diamond",Kilrea,Londonderry,BT51 5QJ,https://www.librariesni.org.uk/Libraries/Pages/Kilrea-Library.aspx
Larne,36 Pound Street,Larne,Antrim,BT40 1SQ,https://www.librariesni.org.uk/Libraries/Pages/Larne-Library.aspx
Limavady,5 Connell Street,Limavady,Londonderry,BT49 0EA,https://www.librariesni.org.uk/Libraries/Pages/Limavady-Library.aspx
Lisburn City,Lisburn City Library,"23 Linenhall Street, Lisburn",Antrim,BT28 1FJ,https://www.librariesni.org.uk/Libraries/Pages/Lisburn-City-Library.aspx
Lisburn Road,440 Lisburn Road,Belfast,Antrim,BT9 6GR,https://www.librariesni.org.uk/Libraries/Pages/Lisburn-Road-Library.aspx
Lisnaskea,157-159 Main Street,Lisnaskea,Fermanagh,BT92 0JE,https://www.librariesni.org.uk/Libraries/Pages/Lisnaskea-Library.aspx
Lurgan,1 Carnegie Street,Lurgan,Armagh,BT66 6AS,https://www.librariesni.org.uk/Libraries/Pages/Lurgan-Library.aspx
Maghera,1 Church Street,Maghera,Londonderry,BT46 5EA,https://www.librariesni.org.uk/Libraries/Pages/Maghera-Library.aspx
Magherafelt,The Bridewell,"6 Church Street, Magherafelt",Londonderry,BT45 6AN,https://www.librariesni.org.uk/Libraries/Pages/Magherafelt-Library.aspx
Moira,21A Backwood Road,"Moira, Craigavon",Armagh,BT67 0LJ,https://www.librariesni.org.uk/Libraries/Pages/Moira-Library.aspx
Newcastle,141-143 Main Street,Newcastle,Down,BT33 0AE,https://www.librariesni.org.uk/Libraries/Pages/Newcastle-Library.aspx
Newry City,79 Hill Street,Newry,Down,BT34 1DG,https://www.librariesni.org.uk/Libraries/Pages/Newry-City-Library.aspx
Newtownards,Queens Hall,"Regent Street, Newtownards",Down,BT23 4AB,https://www.librariesni.org.uk/Libraries/Pages/Newtownards-Library.aspx
Newtownbreda,Saintfield Road,Belfast,Down,BT8 7HL,https://www.librariesni.org.uk/Libraries/Pages/Newtownbreda-Library.aspx
Newtownstewart,2 Main Street,Newtownstewart,Tyrone,BT78 9AA,https://www.librariesni.org.uk/Libraries/Pages/Newtownstewart-Library.aspx
Omagh,1 Spillars Place,"Irishtown Road, Omagh",Tyrone,BT78 1HL,https://www.librariesni.org.uk/Libraries/Pages/Omagh-Library.aspx
Ormeau Road,247 Ormeau Road,Belfast,Antrim,BT7 3GG,https://www.librariesni.org.uk/Libraries/Pages/Ormeau-Road-Library.aspx
Portadown,24-26 Church Street,Portadown,Armagh,BT62 3LQ,https://www.librariesni.org.uk/Libraries/Pages/Portadown-Library.aspx
Portaferry,47 High Street,Portaferry,Down,BT22 1QU,https://www.librariesni.org.uk/Libraries/Pages/Portaferry-Library.aspx
Portglenone,19 Townhill Road,Portglenone,Antrim,BT44 8AD,https://www.librariesni.org.uk/Libraries/Pages/Portglenone-Library.aspx
Portrush,12 Causeway Street,Portrush,Antrim,BT56 8AB,https://www.librariesni.org.uk/Libraries/Pages/Portrush-Library.aspx
Portstewart,"Town Hall, The Crescent",Portstewart,Londonderry,BT55 7AB,https://www.librariesni.org.uk/Libraries/Pages/Portstewart-Library.aspx
Randalstown,34 New Street,Randalstown,Antrim,BT41 3AF,https://www.librariesni.org.uk/Libraries/Pages/Randalstown-Library.aspx
Rathcoole,2 Rosslea Way,Newtownabbey,Antrim,BT37 9BJ,https://www.librariesni.org.uk/Libraries/Pages/Rathcoole-Library.aspx
Rathfriland,12 John Street,Rathfriland,Down,BT34 5QH,https://www.librariesni.org.uk/Libraries/Pages/Rathfriland-Library.aspx
Richhill,1 Maynooth Road,Richhill,Armagh,BT61 9PE,https://www.librariesni.org.uk/Libraries/Pages/Richhill-Library.aspx
Saintfield,Ballynahinch Road,Saintfield,Down,BT24 7AD,https://www.librariesni.org.uk/Libraries/Pages/Saintfield-Library.aspx
Shankill Road,298-300 Shankill Road,Belfast,Antrim,BT13 2BN,https://www.librariesni.org.uk/Libraries/Pages/Shankill-Road-Library.aspx
Shantallow,92 Racecourse Road,"Shantallow, Derry",Londonderry,BT48 8DA,https://www.librariesni.org.uk/Libraries/Pages/Shantallow-Library.aspx
Strabane,1 Railway Street,Strabane,Tyrone,BT82 8EF,https://www.librariesni.org.uk/Libraries/Pages/Strabane-Library.aspx
Strathfoyle,22 Temple Road,"Strathfoyle, Derry",Londonderry,BT47 6TJ,https://www.librariesni.org.uk/Libraries/Pages/Strathfoyle-Library.aspx
Suffolk,Stewartstown Road,Belfast,Antrim,BT11 9JP,https://www.librariesni.org.uk/Libraries/Pages/Suffolk-Library.aspx
Tandragee,84 Market Street,Tandragee,Armagh,BT62 2BP,https://www.librariesni.org.uk/Libraries/Pages/Tandragee-Library.aspx
Tullycarnet,Kinross Avenue,"Kings Road, Belfast",Down,BT5 7GF,https://www.librariesni.org.uk/Libraries/Pages/Tullycarnet-Library.aspx
Warrenpoint,61 Summerhill,Warrenpoint,Down,BT34 3JB,https://www.librariesni.org.uk/Libraries/Pages/Warrenpoint-Library.aspx
Waterside,"The Workhouse, 23 Glendermott Road",Derry,Londonderry,BT47 6BG,https://www.librariesni.org.uk/Libraries/Pages/Waterside-Library.aspx
Whitehead,17B Edward Road,Whitehead,Antrim,BT38 9QB,https://www.librariesni.org.uk/Libraries/Pages/Whitehead-Library.aspx
Whiterock,Whiterock Road,Belfast,Antrim,BT12 7FW,https://www.librariesni.org.uk/Libraries/Pages/Whiterock-Library.aspx
Woodstock,358 Woodstock Road,Belfast,Antrim,BT6 9DQ,https://www.librariesni.org.uk/Libraries/Pages/Woodstock-Library.aspx
