domain,authority_codes,admin
flintshire.gov.uk,{W06000005},FALSE
gateshead.gov.uk,{E08000037},FALSE
glasgow.gov.uk,{S12000049},FALSE
gloucestershire.gov.uk,{E10000013},FALSE
royalgreenwich.gov.uk,{E09000011},FALSE
gwynedd.llyw.cymru,{W06000002},FALSE
hackney.gov.uk,{E09000012},FALSE
halton.gov.uk,{E06000006},FALSE
lbhf.gov.uk,{E09000013},FALSE
hants.gov.uk,{E10000014},FALSE
haringey.gov.uk,{E09000014},FALSE
harrowlibraries.org.uk,{E09000015},FALSE
hartlepool.gov.uk,{E06000001},FALSE
havering.gov.uk,{E09000016},FALSE
herefordshire.gov.uk,{E06000019},FALSE
hertfordshire.gov.uk,{E10000015},FALSE
highland.gov.uk,{S12000017},FALSE
hillingdon.gov.uk,{E09000017},FALSE
hounslow.gov.uk,{E09000018},FALSE
inverclyde.gov.uk,{S12000018},FALSE
anglesey.gov.uk,{W06000001},FALSE
iow.gov.uk,{E06000046},FALSE
scilly.gov.uk,{E06000053},FALSE
islington.gov.uk,{E09000019},FALSE
rbkc.gov.uk,{E09000020},FALSE
kent.gov.uk,{E10000016},FALSE
hull.gov.uk,{E06000010},FALSE
kingston.gov.uk,{E09000021},FALSE
kirklees.gov.uk,{E08000034},FALSE
knowsley.gov.uk,{E08000011},FALSE
lambeth.gov.uk,{E09000022},FALSE
lancashire.gov.uk,{E10000017},FALSE
leeds.gov.uk,{E08000035},FALSE
leicester.gov.uk,{E06000016},FALSE
leicestershire.gov.uk,{E10000018},FALSE
lewisham.gov.uk,{E09000023},FALSE
lincolnshire.gov.uk,{E10000019},FALSE
liverpool.gov.uk,{E08000012},FALSE
luton.gov.uk,{E06000032},FALSE
manchester.gov.uk,{E08000003},FALSE
medway.gov.uk,{E06000035},FALSE
merthyr.gov.uk,{W06000024},FALSE
merton.gov.uk,{E09000024},FALSE
middlesbrough.gov.uk,{E06000002},FALSE
midlothian.gov.uk,{S12000019},FALSE
milton-keynes.gov.uk,{E06000042},FALSE
monmouthshire.gov.uk,{W06000021},FALSE
moray.gov.uk,{S12000020},FALSE
cne-siar.gov.uk,{S12000013},FALSE
npt.gov.uk,{W06000012},FALSE
newcastle.gov.uk,{E08000021},FALSE
newham.gov.uk,{E09000025},FALSE
newport.gov.uk,{W06000022},FALSE
norfolk.gov.uk,{E10000020},FALSE
north-ayrshire.gov.uk,{S12000021},FALSE
nelincs.gov.uk,{E06000012},FALSE
northlanarkshire.gov.uk,{S12000050},FALSE
northlincs.gov.uk,{E06000013},FALSE
n-somerset.gov.uk,{E06000024},FALSE
northtyneside.gov.uk,{E08000022},FALSE
northyorks.gov.uk,{E10000023},FALSE
northamptonshire.gov.uk,{E10000021},FALSE
librariesni.org.uk,{N92000002},FALSE
northumberland.gov.uk,{E06000057},FALSE
nottinghamcity.gov.uk,{E06000018},FALSE
nottinghamshire.gov.uk,{E10000024},FALSE
oldham.gov.uk,{E08000004},FALSE
orkney.gov.uk,{S12000023},FALSE
oxfordshire.gov.uk,{E10000025},FALSE
pembrokeshire.gov.uk,{W06000009},FALSE
pkc.gov.uk,{S12000048},FALSE
peterborough.gov.uk,{E06000031},FALSE
plymouth.gov.uk,{E06000026},FALSE
portsmouthcc.gov.uk,{E06000044},FALSE
powys.gov.uk,{W06000023},FALSE
reading.gov.uk,{E06000038},FALSE
redbridge.gov.uk,{E09000026},FALSE
redcar-cleveland.gov.uk,{E06000003},FALSE
renfrewshire.gov.uk,{S12000038},FALSE
rctcbc.gov.uk,{W06000016},FALSE
richmond.gov.uk,{E09000027},FALSE
rochdale.gov.uk,{E08000005},FALSE
rotherham.gov.uk,{E08000018},FALSE
rutland.gov.uk,{E06000017},FALSE
salford.gov.uk,{E08000006},FALSE
sandwell.gov.uk,{E08000028},FALSE
scotborders.gov.uk,{S12000026},FALSE
sefton.gov.uk,{E08000014},FALSE
sheffield.gov.uk,{E08000019},FALSE
shetland.gov.uk,{S12000027},FALSE
shropshire.gov.uk,{E06000051},FALSE
slough.gov.uk,{E06000039},FALSE
solihull.gov.uk,{E08000029},FALSE
somerset.gov.uk,{E10000027},FALSE
south-ayrshire.gov.uk,{S12000028},FALSE
southglos.gov.uk,{E06000025},FALSE
southlanarkshire.gov.uk,{S12000029},FALSE
southtyneside.gov.uk,{E08000023},FALSE
southampton.gov.uk,{E06000045},FALSE
southend.gov.uk,{E06000033},FALSE
southwark.gov.uk,{E09000028},FALSE
sthelens.gov.uk,{E08000013},FALSE
staffordshire.gov.uk,{E10000028},FALSE
stirling.gov.uk,{S12000030},FALSE
stockport.gov.uk,{E08000007},FALSE
stockton.gov.uk,{E06000004},FALSE
stoke.gov.uk,{E06000021},FALSE
suffolk.gov.uk,{E10000029},FALSE
sunderland.gov.uk,{E08000024},FALSE
surreycc.gov.uk,{E10000030},FALSE
sutton.gov.uk,{E09000029},FALSE
swansea.gov.uk,{W06000011},FALSE
swindon.gov.uk,{E06000030},FALSE
tameside.gov.uk,{E08000008},FALSE
telford.gov.uk,{E06000020},FALSE
thurrock.gov.uk,{E06000034},FALSE
torbay.gov.uk,{E06000027},FALSE
torfaen.gov.uk,{W06000020},FALSE
towerhamlets.gov.uk,{E09000030},FALSE
trafford.gov.uk,{E08000009},FALSE
valeofglamorgan.gov.uk,{W06000014},FALSE
wakefield.gov.uk,{E08000036},FALSE
walsall.gov.uk,{E08000030},FALSE
walthamforest.gov.uk,{E09000031},FALSE
wandsworth.gov.uk,{E09000032},FALSE
warrington.gov.uk,{E06000007},FALSE
warwickshire.gov.uk,{E10000031},FALSE
westberks.gov.uk,{E06000037},FALSE
west-dunbarton.gov.uk,{S12000039},FALSE
westlothian.gov.uk,{S12000040},FALSE
westsussex.gov.uk,{E10000032},FALSE
westminster.gov.uk,{E09000033},FALSE
wigan.gov.uk,{E08000010},FALSE
wiltshire.gov.uk,{E06000054},FALSE
rbwm.gov.uk,{E06000040},FALSE
wirral.gov.uk,{E08000015},FALSE
wokingham.gov.uk,{E06000041},FALSE
wolverhampton.gov.uk ,{E08000031},FALSE
worcestershire.gov.uk,{E10000034},FALSE
wrexham.gov.uk,{W06000006},FALSE
exploreyork.org.uk,{E06000014},FALSE
