WKT,fid,id,building_theme,classification,distinctive_name,feature_code
"POLYGON ((345499.9 750572.2,345496.83 750577.28,345476.93 750621.54,345465.94 750616.6,345481.39 750583.46,345480.74 750583.04,345494.39 750556.77,345505.14 750564.39,345501.97 750568.79,345500.75 750570.8,345500.59 750570.68,345499.9 750572.2))","1167",30723A16-0D1C-4C4B-9AE3-B11094A98A86,Cultural Facility,Library,,"15024"
"POLYGON ((302795.11 915337.55,302789.32 915341.59,302786.39 915337.4,302792.18 915333.36,302795.11 915337.55))","1179",209A2513-251E-4619-9F15-277258CFF956,Cultural Facility,Library,Helmsdale Community Centre,"15024"
"POLYGON ((338282.53 700844.8,338274.53 700862.94,338261.7 700850.8,338262.12 700849.97,338262.91 700849.25,338271.01 700845.1,338270.34 700843.39,338280.17 700839.08,338282.53 700844.8))","1258",39BF4693-9E59-46BE-9992-B0243A9EA877,Cultural Facility,Library,Leven Library,"15024"
"POLYGON ((167447.12 797001.11,167460.45 796993.71,167478.96 797030.03,167465.64 797036.79,167447.12 797001.11))","1269",E6EE2D5B-485F-44E3-AB6C-2E4DB6D70DF5,Cultural Facility,Library,,"15024"
"POLYGON ((311339.27 723477.68,311338.35 723464.32,311312.53 723466.11,311311.42 723450.12,311397.03 723440.73,311398.36 723460.76,311373.75 723462.7,311374.62 723475.24,311339.27 723477.68))","1284",8FCC5B9C-62AB-4224-8D6C-E7168A89A862,Cultural Facility,Library,A K Bell Library,"15024"
"POLYGON ((338663.33 754049.8,338662.93 754073.03,338660.05 754081.57,338641.24 754073.89,338641.44 754068.47,338624.37 754067.85,338624.91 754052.99,338626.82 754050.26,338630.33 754051.69,338638.7 754051.99,338638.81 754048.91,338663.33 754049.8))","1331",475D11F4-5586-4C2C-A3DD-1AB324124C32,Cultural Facility,Library,,"15024"
"POLYGON ((391044.81 793255.82,391045.27 793242.83,391052.57 793243.09,391052.11 793256.08,391044.81 793255.82))","1452",D912D6F4-9F5F-4E23-AE5B-DA240E46E31B,Cultural Facility,Library,,"15024"
"POLYGON ((324619.86 701544.52,324604.7 701536.55,324610.8 701524.9,324625.93 701532.82,324619.86 701544.52))","1581",30EEEF97-F74B-4412-B80F-8A7B464E25B0,Cultural Facility,Library,,"15024"
"POLYGON ((393238.11 805150.3,393253.54 805148.27,393255.02 805159.92,393239.57 805161.82,393238.11 805150.3))","1597",D4D02F34-D681-451A-A3BF-43EF2BEA5507,Cultural Facility,Library,,"15024"
"POLYGON ((359088.76 866051.31,359083.76 866063.51,359078.36 866061.3,359083.36 866049.1,359088.76 866051.31))","1655",21D3EC45-D465-4269-AF1E-52D60776AB4D,Cultural Facility,Library,,"15024"
"POLYGON ((337513.75 714470.72,337516.29 714482.28,337516.19 714485.29,337489.24 714484.44,337489.39 714474.26,337503.5 714474.7,337503.56 714472.67,337513.75 714470.72))","1757",260C911E-995D-49EE-ACF8-01E587AEE0A6,Cultural Facility,Library,,"15024"
"POLYGON ((390171.57 808330.2,390178.5 808331.9,390182.82 808327.42,390189.89 808325.68,390185.9 808309.1,390195.93 808306.73,390208.82 808360.61,390190.55 808365.0,390188.5 808356.35,390196.58 808354.43,390192.46 808337.09,390172.63 808341.86,390177.64 808362.58,390164.23 808365.81,390156.52 808333.78,390171.57 808330.2))","1764",79F112C3-E4E5-4E6D-9CBD-64A74EA03BC4,Cultural Facility,Library,,"15024"
"POLYGON ((392280.83 803581.8,392267.77 803631.17,392196.67 803612.36,392215.28 803542.07,392238.66 803548.26,392234.96 803562.23,392248.39 803565.8,392252.09 803551.83,392271.97 803557.12,392266.43 803578.0,392280.83 803581.8),(392225.73 803596.98,392250.37 803603.55,392254.84 803586.68,392252.23 803582.26,392231.12 803576.63,392225.73 803596.98))","1773",4EBFB900-2741-4582-889D-C5D9C676199A,Cultural Facility,Library,,"15024"
"POLYGON ((393268.64 808980.77,393291.02 808979.77,393291.83 808995.23,393269.23 808996.09,393268.64 808980.77))","1811",55965BAC-FCFD-47D4-A582-C43F5238BBB7,Cultural Facility,Library,,"15024"
"POLYGON ((348501.52 700000.0,348490.25 699993.73,348494.01 699986.97,348505.36 699993.29,348501.63 700000.0,348501.6 700000.05,348501.52 700000.0))","1832",EC96340C-D4AA-4BDD-86F4-56DA77DEB531,Cultural Facility,Library,,"15024"
"POLYGON ((303131.79 827614.86,303132.26 827615.5,303154.57 827599.8,303163.66 827612.14,303134.81 827632.31,303125.34 827619.41,303131.79 827614.86))","1850",AD0B1AB0-FA2A-462B-8D8E-DD42FABFE5ED,Cultural Facility,Library,,"15024"
