Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Durham County Council,Esh Winning Library,The Wynds,Durham,County Durham,DH7 9AD,,Yes,LAL,,,10:00-19:00,13:00-17:00,00:00-00:00,13:00-17:00,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Ferryhill Library,North Street,Ferryhill,County Durham,DL17 8HX,,Yes,LAL,,,09:30-17:00,00:00-00:00,00:00-00:00,09:30-19:00,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Horden Library,Sunderland Road,Peterlee,County Durham,SR8 4PF,,Yes,LAL,,,09:30-17:00,00:00-00:00,00:00-00:00,00:00-00:00,09:30-19:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Lanchester Library,Newbiggen Lane,Lanchester,County Durham,DH7 0NT,,Yes,LAL,,,14:00-17:30,14:00-17:30,00:00-00:00,09:00-19:00,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Langley Park Library,"Old Co-operative Buildings, Front Street",Langley Park,County Durham,DH7 9XE,,Yes,LAL,,,00:00-00:00,09:30-17:00,00:00-00:00,00:00-00:00,09:30-19:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Murton Library,Barnes Road,Seaham,County Durham,SR7 9QR,,Yes,LAL,,,09:30-19:00,09:30-17:00,00:00-00:00,00:00-00:00,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Newton Aycliffe Library,Beveridge Way,Newton Aycliffe,County Durham,DL5 4EH,,Yes,LAL,,,10:00-18:00,10:00-19:00,00:00-00:00,10:00-19:00,10:00-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Newton Aycliffe Leisure Centre,,https://www.durham.gov.uk/libraries,
Durham County Council,Newton Hall Library,Alnwick Road,Newton Hall,County Durham,DH1 5NL,,Yes,LAL,,,09:30-19:00,00:00-00:00,00:00-00:00,13:00-17:00,09:30-13:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Pelton Library,The Lavender Centre,Pelton,County Durham,DH2 1HS,,Yes,LAL,,,14:00-17:30,00:00-00:00,09:00-19:00,14:00-17:30,00:00-00:00,09:30-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Peterlee Library,St. Cuthberts Way,Peterlee,County Durham,SR8 1AF,,Yes,LAL,,,10:00-19:00,10:00-19:00,00:00-00:00,10:00-18:00,10:00-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Peterlee Leisure Centre,,https://www.durham.gov.uk/libraries,
