Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Inverclyde Council,Central Library,Wallace Place,,Greenock,PA15 1JB,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
Inverclyde Council,Gourock Library,Kempock Place,,Gourock,PA19 1QU,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
Inverclyde Council,Inverkip and Weymss Bay Library,Inverkip Community Hub ,,Main Street,PA16 0FZ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
Inverclyde Council,Kilmacolm Library,Lochwinnoch Road ,,Kilmacolm,PA13 4LE,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
Inverclyde Council,Port Glasgow Library,Fore Street,,Port Glasgow,PA14 5EQ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
Inverclyde Council,South West Library,Barrâ€™s Cottage,,Greenock,PA16 9HG,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
