Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Norfolk County Council,Hethersett Library,Queens Road,Hethersett,Norfolk,NR9 3DB,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Hingham Library,The Fairland,Hingham,Norfolk,NR9 4HW,,Yes,LAL,,,,14:00-19:00,,10:00-19:00,,10:00-13:00,,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Holt Library,"Wansbeck House, 9 Church Street",Holt,Norfolk,NR25 6BB,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Hunstanton Library,7 Westgate,Hunstanton,Norfolk,PE36 5AL,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Kings Lynn Library,London Road,King's Lynn,Norfolk,PE30 5EZ,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Loddon Library,31 Church Plain,Loddon,Norfolk,NR14 6EX,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Long Stratton Library,The Street,Long Stratton,Norfolk,NR15 2XJ,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Martham Library,Black Street,Martham,Norfolk,NR29 4PR,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Mile Cross Library,Aylsham Road,Norwich,Norfolk,NR3 2RJ,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Mundesley Library,16/18 Cromer Road,Mundesley,Norfolk,NR11 8BE,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
